id,left (arch),left (os),left (compiler),right (arch),right (os),right (compiler),cosine,dice,euclidean,jaccard,lcs,levenshtein,simpson,weighted-jaccard
543,arm64,darwin,rs-sys,arm64,linux,rs-pure,0.943661,0.936872,0.885085,0.908337,0.854511,0.795970,0.974276,0.859798
544,arm64,darwin,rs-sys,arm64,linux,rs-sys,0.957366,0.951163,0.899775,0.922336,0.871177,0.812904,0.989192,0.875413
545,arm64,darwin,rs-sys,arm64,linux,tgo,0.302645,0.285442,0.249841,0.248475,0.208646,0.164574,0.368134,0.200770
546,arm64,darwin,rs-sys,arm64,windows,clang,0.688791,0.668003,0.562764,0.588932,0.437232,0.335954,0.788164,0.446218
547,arm64,darwin,rs-sys,arm64,windows,gcc,0.029906,0.028978,0.025479,0.026392,0.019297,0.015311,0.032473,0.020891
548,arm64,darwin,rs-sys,arm64,windows,go,0.467220,0.458591,0.380177,0.408640,0.259107,0.190317,0.527769,0.293291
549,arm64,darwin,rs-sys,arm64,windows,msvc,0.037103,0.035368,0.032261,0.032372,0.025379,0.020674,0.039454,0.026962
55,amd64,darwin,gcc,arm64,darwin,rs-sys,0.018930,0.018089,0.016047,0.016399,0.011695,0.008972,0.020334,0.012955
550,arm64,darwin,rs-sys,arm64,windows,rs-pure,0.150769,0.149682,0.126616,0.138078,0.105796,0.087263,0.165403,0.105509
551,arm64,darwin,rs-sys,arm64,windows,rs-sys,0.154165,0.152826,0.129441,0.140836,0.108151,0.089171,0.169148,0.107819
552,arm64,darwin,tgo,arm64,linux,clang,0.064217,0.062861,0.054218,0.057176,0.042250,0.033788,0.070779,0.044358
553,arm64,darwin,tgo,arm64,linux,gcc,0.076358,0.074401,0.063576,0.067533,0.049142,0.039040,0.083923,0.050847
554,arm64,darwin,tgo,arm64,linux,go,0.259426,0.257039,0.200705,0.215948,0.160371,0.120927,0.393397,0.153912
555,arm64,darwin,tgo,arm64,linux,rs-pure,0.248137,0.235168,0.209238,0.209016,0.180683,0.146490,0.292431,0.175053
556,arm64,darwin,tgo,arm64,linux,rs-sys,0.252001,0.238575,0.212352,0.212022,0.183182,0.148466,0.296908,0.177539
557,arm64,darwin,tgo,arm64,linux,tgo,0.758508,0.757355,0.692346,0.717801,0.678557,0.619394,0.815334,0.648430
558,arm64,darwin,tgo,arm64,windows,clang,0.307769,0.292276,0.259223,0.253457,0.221371,0.173817,0.380824,0.210324
559,arm64,darwin,tgo,arm64,windows,gcc,0.098326,0.094759,0.082718,0.085121,0.063000,0.049569,0.108190,0.066198
56,amd64,darwin,gcc,arm64,darwin,tgo,0.062079,0.058964,0.051357,0.052540,0.037770,0.028772,0.067745,0.040438
560,arm64,darwin,tgo,arm64,windows,go,0.362567,0.341727,0.273319,0.288120,0.207913,0.155643,0.568718,0.211878
561,arm64,darwin,tgo,arm64,windows,msvc,0.120776,0.113208,0.101484,0.100955,0.080303,0.064494,0.131446,0.081796
562,arm64,darwin,tgo,arm64,windows,rs-pure,0.047446,0.046995,0.043591,0.044969,0.038461,0.034880,0.049646,0.039647
563,arm64,darwin,tgo,arm64,windows,rs-sys,0.048529,0.048061,0.044593,0.045991,0.039342,0.035674,0.050770,0.040543
564,arm64,linux,clang,arm64,linux,gcc,0.799451,0.762051,0.688969,0.706363,0.587545,0.489421,0.843373,0.609851
565,arm64,linux,clang,arm64,linux,go,0.025506,0.024793,0.021551,0.022569,0.016448,0.012994,0.027844,0.017752
566,arm64,linux,clang,arm64,linux,rs-pure,0.019271,0.018888,0.016566,0.017521,0.013053,0.010677,0.020698,0.013828
567,arm64,linux,clang,arm64,linux,rs-sys,0.019584,0.019255,0.016852,0.017923,0.013310,0.010916,0.021015,0.014112
568,arm64,linux,clang,arm64,linux,tgo,0.053464,0.051251,0.044650,0.046536,0.034662,0.028114,0.057708,0.036596
569,arm64,linux,clang,arm64,windows,clang,0.025347,0.025828,0.022150,0.024904,0.020132,0.017322,0.026954,0.019823
57,amd64,darwin,gcc,arm64,linux,clang,0.832183,0.813475,0.665516,0.733500,0.532460,0.410140,0.957143,0.559117
570,arm64,linux,clang,arm64,windows,gcc,0.615571,0.594016,0.520083,0.550100,0.439829,0.361848,0.654206,0.458980
571,arm64,linux,clang,arm64,windows,go,0.037188,0.035893,0.031528,0.032723,0.024126,0.019305,0.040253,0.026041
572,arm64,linux,clang,arm64,windows,msvc,0.474009,0.470932,0.387060,0.423915,0.319886,0.251722,0.538462,0.313956
573,arm64,linux,clang,arm64,windows,rs-pure,0.003247,0.003196,0.002784,0.002954,0.002184,0.001750,0.003514,0.002313
574,arm64,linux,clang,arm64,windows,rs-sys,0.003322,0.003276,0.002844,0.003034,0.002238,0.001791,0.003593,0.002357
575,arm64,linux,gcc,arm64,linux,go,0.030067,0.029525,0.025189,0.026949,0.019313,0.015181,0.033015,0.020419
576,arm64,linux,gcc,arm64,linux,rs-pure,0.022795,0.022008,0.019486,0.020133,0.014868,0.012006,0.024542,0.016177
577,arm64,linux,gcc,arm64,linux,rs-sys,0.023150,0.022437,0.019791,0.020599,0.015148,0.012230,0.024917,0.016496
578,arm64,linux,gcc,arm64,linux,tgo,0.063183,0.060158,0.052286,0.054242,0.039994,0.031603,0.068425,0.041713
579,arm64,linux,gcc,arm64,windows,clang,0.029872,0.029586,0.025543,0.027730,0.020310,0.016477,0.031960,0.021749
58,amd64,darwin,gcc,arm64,linux,gcc,0.741627,0.736760,0.654758,0.686091,0.598349,0.505194,0.807229,0.604590
580,arm64,linux,gcc,arm64,windows,gcc,0.739912,0.734058,0.679490,0.706168,0.645469,0.586630,0.775701,0.640765
581,arm64,linux,gcc,arm64,windows,go,0.043828,0.042632,0.036878,0.038868,0.028163,0.022021,0.047729,0.030093
582,arm64,linux,gcc,arm64,windows,msvc,0.553298,0.555962,0.454639,0.498967,0.370547,0.290258,0.638462,0.363708
583,arm64,linux,gcc,arm64,windows,rs-pure,0.003852,0.003749,0.003286,0.003441,0.002570,0.002063,0.004166,0.002698
